ndims,kappa,trial,objval,runtime
70,1,8,-35.75040292443594,1487.5193469524384
70,1,9,-36.078882143048105,1754.5890350341797
70,10,0,-1313.2868198506133,117.73162198066711
70,10,1,-1276.4360250041022,93.08488297462463
70,10,2,-1340.7257735598653,147.91462087631226
70,10,3,-1216.9508762326004,1253.3832590579987
70,10,4,-1266.0389958888406,101.57551193237305
70,10,5,-1256.666576804884,147.00542306900024
70,10,6,-1215.7778494577865,657.3686130046844
70,10,7,-1459.4519231933434,120.1125099658966
70,10,8,-1341.515031197045,152.27075791358948
70,10,9,-970.7397596126971,1405.5618801116943
70,100,0,-117385.09988564,93.23811197280884
70,100,1,-120723.39145658929,88.04569005966187
70,100,2,-120991.38399652897,82.16557693481445
70,100,3,-106573.85785562731,130.85304307937622
70,100,4,-95406.0615222291,153.94151878356934
70,100,5,-132639.5095745794,90.5261070728302
70,100,6,-113678.5307609277,82.78946709632874
70,100,7,-108248.63804158618,90.76563096046448
70,100,8,-95140.91141361353,1079.4647500514984
70,100,9,-100348.12646431109,642.4407970905304
70,1000,0,-10227477.361707523,1172.7747540473938
70,1000,1,-10244787.072946498,144.07430505752563
70,1000,2,-11190572.917091884,185.84161591529846
70,1000,3,-11554367.151907682,949.3311421871185
70,1000,4,-10803768.502532272,204.53087377548218
70,1000,5,-14084094.532851342,100.33211517333984
70,1000,6,-12026610.139959902,163.11280512809753
70,1000,7,-12065978.581079619,100.81168818473816
70,1000,8,-12312159.656728743,131.02367997169495
70,1000,9,-13652713.458942162,81.69843912124634
80,1,0,-42.97552941906505,5377.781403064728
80,1,1,-43.42762429487514,3967.047693014145
